studentenrollmentbyell2008-2021
District,FIPS,Year,Learner,Variable,Type,Value
Jumoke Academy District,,2017-2018,English Language Learner,Student Enrollment,Number,0
Jumoke Academy District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,717
Jumoke Academy District,,2018-2019,English Language Learner,Student Enrollment,Number,0
Jumoke Academy District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,700
Jumoke Academy District,,2019-2020,English Language Learner,Student Enrollment,Number,6
Jumoke Academy District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,-9999
Jumoke Academy District,,2020-2021,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,257
Kent School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Kent School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2009-2010,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2017-2018,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2018-2019,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2019-2020,English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,-9999
Kent School District,,2020-2021,English Language Learner,Student Enrollment,Number,-9999
Killingly School District,901540500,2007-2008,Non-English Language Learner,Student Enrollment,Number,2669
Killingly School District,901540500,2007-2008,English Language Learner,Student Enrollment,Number,66
Killingly School District,901540500,2008-2009,Non-English Language Learner,Student Enrollment,Number,2669
Killingly School District,901540500,2008-2009,English Language Learner,Student Enrollment,Number,55
Killingly School District,901540500,2009-2010,Non-English Language Learner,Student Enrollment,Number,2649
Killingly School District,901540500,2009-2010,English Language Learner,Student Enrollment,Number,59
Killingly School District,901540500,2010-2011,Non-English Language Learner,Student Enrollment,Number,2656
Killingly School District,901540500,2010-2011,English Language Learner,Student Enrollment,Number,55
Killingly School District,901540500,2011-2012,Non-English Language Learner,Student Enrollment,Number,2643
Killingly School District,901540500,2011-2012,English Language Learner,Student Enrollment,Number,61
Killingly School District,901540500,2012-2013,Non-English Language Learner,Student Enrollment,Number,2657
Killingly School District,901540500,2012-2013,English Language Learner,Student Enrollment,Number,59
Killingly School District,901540500,2013-2014,Non-English Language Learner,Student Enrollment,Number,2603
Killingly School District,901540500,2013-2014,English Language Learner,Student Enrollment,Number,68
Killingly School District,901540500,2014-2015,Non-English Language Learner,Student Enrollment,Number,2500
Killingly School District,901540500,2014-2015,English Language Learner,Student Enrollment,Number,76
Killingly School District,901540500,2015-2016,Non-English Language Learner,Student Enrollment,Number,2524
Killingly School District,901540500,2015-2016,English Language Learner,Student Enrollment,Number,72
Killingly School District,901540500,2016-2017,Non-English Language Learner,Student Enrollment,Number,2491
Killingly School District,901540500,2016-2017,English Language Learner,Student Enrollment,Number,59
Killingly School District,901540500,2017-2018,Non-English Language Learner,Student Enrollment,Number,2473
Killingly School District,901540500,2017-2018,English Language Learner,Student Enrollment,Number,50
Killingly School District,901540500,2018-2019,Non-English Language Learner,Student Enrollment,Number,2461
Killingly School District,901540500,2018-2019,English Language Learner,Student Enrollment,Number,40
Killingly School District,901540500,2019-2020,Non-English Language Learner,Student Enrollment,Number,2432
Killingly School District,901540500,2019-2020,English Language Learner,Student Enrollment,Number,58
Killingly School District,901540500,2020-2021,Non-English Language Learner,Student Enrollment,Number,2273
Killingly School District,901540500,2020-2021,English Language Learner,Student Enrollment,Number,63
LEARN,,2007-2008,Non-English Language Learner,Student Enrollment,Number,983
LEARN,,2007-2008,English Language Learner,Student Enrollment,Number,94
LEARN,,2008-2009,Non-English Language Learner,Student Enrollment,Number,965
LEARN,,2008-2009,English Language Learner,Student Enrollment,Number,72
LEARN,,2009-2010,Non-English Language Learner,Student Enrollment,Number,999
LEARN,,2009-2010,English Language Learner,Student Enrollment,Number,122
LEARN,,2010-2011,Non-English Language Learner,Student Enrollment,Number,1173
LEARN,,2010-2011,English Language Learner,Student Enrollment,Number,122
LEARN,,2011-2012,Non-English Language Learner,Student Enrollment,Number,1394
LEARN,,2011-2012,English Language Learner,Student Enrollment,Number,120
LEARN,,2012-2013,Non-English Language Learner,Student Enrollment,Number,1618
LEARN,,2012-2013,English Language Learner,Student Enrollment,Number,110
LEARN,,2013-2014,Non-English Language Learner,Student Enrollment,Number,2017
LEARN,,2013-2014,English Language Learner,Student Enrollment,Number,120
LEARN,,2014-2015,Non-English Language Learner,Student Enrollment,Number,2162
LEARN,,2014-2015,English Language Learner,Student Enrollment,Number,108
LEARN,,2015-2016,Non-English Language Learner,Student Enrollment,Number,2200
LEARN,,2015-2016,English Language Learner,Student Enrollment,Number,173
LEARN,,2016-2017,Non-English Language Learner,Student Enrollment,Number,2219
LEARN,,2016-2017,English Language Learner,Student Enrollment,Number,202
LEARN,,2017-2018,Non-English Language Learner,Student Enrollment,Number,2177
LEARN,,2017-2018,English Language Learner,Student Enrollment,Number,307
LEARN,,2018-2019,Non-English Language Learner,Student Enrollment,Number,2270
LEARN,,2018-2019,English Language Learner,Student Enrollment,Number,239
LEARN,,2019-2020,Non-English Language Learner,Student Enrollment,Number,2273
LEARN,,2019-2020,English Language Learner,Student Enrollment,Number,245
LEARN,,2020-2021,Non-English Language Learner,Student Enrollment,Number,2146
LEARN,,2020-2021,English Language Learner,Student Enrollment,Number,213
Lebanon School District,901142390,2007-2008,Non-English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2007-2008,English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2009-2010,Non-English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2009-2010,English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2011-2012,Non-English Language Learner,Student Enrollment,Number,1293
Lebanon School District,901142390,2011-2012,English Language Learner,Student Enrollment,Number,0
Lebanon School District,901142390,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Lebanon School District,901142390,2016-2017,Non-English Language Learner,Student Enrollment,Number,1014
Lebanon School District,901142390,2016-2017,English Language Learner,Student Enrollment,Number,6
Lebanon School District,901142390,2017-2018,Non-English Language Learner,Student Enrollment,Number,1003
Lebanon School District,901142390,2017-2018,English Language Learner,Student Enrollment,Number,8
Lebanon School District,901142390,2018-2019,Non-English Language Learner,Student Enrollment,Number,996
Lebanon School District,901142390,2018-2019,English Language Learner,Student Enrollment,Number,9
Lebanon School District,901142390,2019-2020,Non-English Language Learner,Student Enrollment,Number,981
Lebanon School District,901142390,2019-2020,English Language Learner,Student Enrollment,Number,10
Lebanon School District,901142390,2020-2021,Non-English Language Learner,Student Enrollment,Number,939
Lebanon School District,901142390,2020-2021,English Language Learner,Student Enrollment,Number,9
Ledyard School District,901142600,2007-2008,Non-English Language Learner,Student Enrollment,Number,2865
Ledyard School District,901142600,2007-2008,English Language Learner,Student Enrollment,Number,40
Ledyard School District,901142600,2008-2009,Non-English Language Learner,Student Enrollment,Number,2727
Ledyard School District,901142600,2008-2009,English Language Learner,Student Enrollment,Number,34
Ledyard School District,901142600,2009-2010,Non-English Language Learner,Student Enrollment,Number,2648
Ledyard School District,901142600,2009-2010,English Language Learner,Student Enrollment,Number,34
Ledyard School District,901142600,2010-2011,Non-English Language Learner,Student Enrollment,Number,2611
Ledyard School District,901142600,2010-2011,English Language Learner,Student Enrollment,Number,32
Ledyard School District,901142600,2011-2012,Non-English Language Learner,Student Enrollment,Number,2571
Ledyard School District,901142600,2011-2012,English Language Learner,Student Enrollment,Number,33
Ledyard School District,901142600,2012-2013,Non-English Language Learner,Student Enrollment,Number,2592
Ledyard School District,901142600,2012-2013,English Language Learner,Student Enrollment,Number,24
Ledyard School District,901142600,2013-2014,Non-English Language Learner,Student Enrollment,Number,2557
Ledyard School District,901142600,2013-2014,English Language Learner,Student Enrollment,Number,23
Ledyard School District,901142600,2014-2015,Non-English Language Learner,Student Enrollment,Number,2518
Ledyard School District,901142600,2014-2015,English Language Learner,Student Enrollment,Number,22
Ledyard School District,901142600,2015-2016,Non-English Language Learner,Student Enrollment,Number,2425
Ledyard School District,901142600,2015-2016,English Language Learner,Student Enrollment,Number,20
Ledyard School District,901142600,2016-2017,Non-English Language Learner,Student Enrollment,Number,2375
Ledyard School District,901142600,2016-2017,English Language Learner,Student Enrollment,Number,19
Ledyard School District,901142600,2017-2018,Non-English Language Learner,Student Enrollment,Number,2411
Ledyard School District,901142600,2017-2018,English Language Learner,Student Enrollment,Number,28
Ledyard School District,901142600,2018-2019,Non-English Language Learner,Student Enrollment,Number,2399
Ledyard School District,901142600,2018-2019,English Language Learner,Student Enrollment,Number,32
Ledyard School District,901142600,2019-2020,Non-English Language Learner,Student Enrollment,Number,2392
Ledyard School District,901142600,2019-2020,English Language Learner,Student Enrollment,Number,34
Ledyard School District,901142600,2020-2021,Non-English Language Learner,Student Enrollment,Number,2324
Ledyard School District,901142600,2020-2021,English Language Learner,Student Enrollment,Number,34
Lisbon School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,579
Lisbon School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Lisbon School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,564
Lisbon School District,,2008-2009,English Language Learner,Student Enrollment,Number,0
Lisbon School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,569
Lisbon School District,,2009-2010,English Language Learner,Student Enrollment,Number,0
Lisbon School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,535
Lisbon School District,,2010-2011,English Language Learner,Student Enrollment,Number,0
Lisbon School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2017-2018,English Language Learner,Student Enrollment,Number,-9999
Lisbon School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,402
Lisbon School District,,2018-2019,English Language Learner,Student Enrollment,Number,6
Lisbon School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,413
Lisbon School District,,2019-2020,English Language Learner,Student Enrollment,Number,8
Lisbon School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,418
Lisbon School District,,2020-2021,English Language Learner,Student Enrollment,Number,12
Litchfield School District,900543370,2007-2008,Non-English Language Learner,Student Enrollment,Number,1215
Litchfield School District,900543370,2007-2008,English Language Learner,Student Enrollment,Number,0
Litchfield School District,900543370,2008-2009,Non-English Language Learner,Student Enrollment,Number,1203
Litchfield School District,900543370,2008-2009,English Language Learner,Student Enrollment,Number,0
Litchfield School District,900543370,2009-2010,Non-English Language Learner,Student Enrollment,Number,1201
Litchfield School District,900543370,2009-2010,English Language Learner,Student Enrollment,Number,6
Litchfield School District,900543370,2010-2011,Non-English Language Learner,Student Enrollment,Number,1170
Litchfield School District,900543370,2010-2011,English Language Learner,Student Enrollment,Number,6
Litchfield School District,900543370,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2017-2018,Non-English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2017-2018,English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2018-2019,Non-English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2018-2019,English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2019-2020,Non-English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2019-2020,English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2020-2021,Non-English Language Learner,Student Enrollment,Number,-9999
Litchfield School District,900543370,2020-2021,English Language Learner,Student Enrollment,Number,-9999
Madison School District,900944560,2007-2008,Non-English Language Learner,Student Enrollment,Number,-9999
Madison School District,900944560,2007-2008,English Language Learner,Student Enrollment,Number,-9999
Madison School District,900944560,2008-2009,Non-English Language Learner,Student Enrollment,Number,3730
Madison School District,900944560,2008-2009,English Language Learner,Student Enrollment,Number,10
Madison School District,900944560,2009-2010,Non-English Language Learner,Student Enrollment,Number,3689
Madison School District,900944560,2009-2010,English Language Learner,Student Enrollment,Number,6
Madison School District,900944560,2010-2011,Non-English Language Learner,Student Enrollment,Number,3622
Madison School District,900944560,2010-2011,English Language Learner,Student Enrollment,Number,8
Madison School District,900944560,2011-2012,Non-English Language Learner,Student Enrollment,Number,3454
Madison School District,900944560,2011-2012,English Language Learner,Student Enrollment,Number,11
Madison School District,900944560,2012-2013,Non-English Language Learner,Student Enrollment,Number,3370
Madison School District,900944560,2012-2013,English Language Learner,Student Enrollment,Number,20
Madison School District,900944560,2013-2014,Non-English Language Learner,Student Enrollment,Number,3280
Madison School District,900944560,2013-2014,English Language Learner,Student Enrollment,Number,17
Madison School District,900944560,2014-2015,Non-English Language Learner,Student Enrollment,Number,3152
Madison School District,900944560,2014-2015,English Language Learner,Student Enrollment,Number,19
Madison School District,900944560,2015-2016,Non-English Language Learner,Student Enrollment,Number,3012
Madison School District,900944560,2015-2016,English Language Learner,Student Enrollment,Number,15
Madison School District,900944560,2016-2017,Non-English Language Learner,Student Enrollment,Number,2923
Madison School District,900944560,2016-2017,English Language Learner,Student Enrollment,Number,18
Madison School District,900944560,2017-2018,Non-English Language Learner,Student Enrollment,Number,2807
Madison School District,900944560,2017-2018,English Language Learner,Student Enrollment,Number,28
Madison School District,900944560,2018-2019,Non-English Language Learner,Student Enrollment,Number,2700
Madison School District,900944560,2018-2019,English Language Learner,Student Enrollment,Number,37
Madison School District,900944560,2019-2020,Non-English Language Learner,Student Enrollment,Number,2589
Madison School District,900944560,2019-2020,English Language Learner,Student Enrollment,Number,37
Madison School District,900944560,2020-2021,Non-English Language Learner,Student Enrollment,Number,2443
Madison School District,900944560,2020-2021,English Language Learner,Student Enrollment,Number,35
Manchester School District,900344700,2007-2008,Non-English Language Learner,Student Enrollment,Number,6660
Manchester School District,900344700,2007-2008,English Language Learner,Student Enrollment,Number,253
Manchester School District,900344700,2008-2009,Non-English Language Learner,Student Enrollment,Number,6640
Manchester School District,900344700,2008-2009,English Language Learner,Student Enrollment,Number,296
Manchester School District,900344700,2009-2010,Non-English Language Learner,Student Enrollment,Number,6591
Manchester School District,900344700,2009-2010,English Language Learner,Student Enrollment,Number,350
Manchester School District,900344700,2010-2011,Non-English Language Learner,Student Enrollment,Number,6515
Manchester School District,900344700,2010-2011,English Language Learner,Student Enrollment,Number,347
Manchester School District,900344700,2011-2012,Non-English Language Learner,Student Enrollment,Number,6119
Manchester School District,900344700,2011-2012,English Language Learner,Student Enrollment,Number,335
Manchester School District,900344700,2012-2013,Non-English Language Learner,Student Enrollment,Number,5947
Manchester School District,900344700,2012-2013,English Language Learner,Student Enrollment,Number,328
Manchester School District,900344700,2013-2014,Non-English Language Learner,Student Enrollment,Number,5904
Manchester School District,900344700,2013-2014,English Language Learner,Student Enrollment,Number,352
Manchester School District,900344700,2014-2015,Non-English Language Learner,Student Enrollment,Number,5879
Manchester School District,900344700,2014-2015,English Language Learner,Student Enrollment,Number,388
Manchester School District,900344700,2015-2016,Non-English Language Learner,Student Enrollment,Number,5875
Manchester School District,900344700,2015-2016,English Language Learner,Student Enrollment,Number,368
Manchester School District,900344700,2016-2017,Non-English Language Learner,Student Enrollment,Number,5915
Manchester School District,900344700,2016-2017,English Language Learner,Student Enrollment,Number,375
Manchester School District,900344700,2017-2018,Non-English Language Learner,Student Enrollment,Number,5830
Manchester School District,900344700,2017-2018,English Language Learner,Student Enrollment,Number,398
Manchester School District,900344700,2018-2019,Non-English Language Learner,Student Enrollment,Number,5858
Manchester School District,900344700,2018-2019,English Language Learner,Student Enrollment,Number,393
Manchester School District,900344700,2019-2020,Non-English Language Learner,Student Enrollment,Number,5860
Manchester School District,900344700,2019-2020,English Language Learner,Student Enrollment,Number,449
Manchester School District,900344700,2020-2021,Non-English Language Learner,Student Enrollment,Number,5661
Manchester School District,900344700,2020-2021,English Language Learner,Student Enrollment,Number,430
Mansfield School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,1272
Mansfield School District,,2007-2008,English Language Learner,Student Enrollment,Number,35
Mansfield School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,1262
Mansfield School District,,2008-2009,English Language Learner,Student Enrollment,Number,23
Mansfield School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,1259
Mansfield School District,,2009-2010,English Language Learner,Student Enrollment,Number,16
Mansfield School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,1293
Mansfield School District,,2010-2011,English Language Learner,Student Enrollment,Number,38
Mansfield School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,1290
Mansfield School District,,2011-2012,English Language Learner,Student Enrollment,Number,39
Mansfield School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,1277
Mansfield School District,,2012-2013,English Language Learner,Student Enrollment,Number,44
Mansfield School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,1197
Mansfield School District,,2013-2014,English Language Learner,Student Enrollment,Number,52
Mansfield School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,1190
Mansfield School District,,2014-2015,English Language Learner,Student Enrollment,Number,52
Mansfield School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,1185
Mansfield School District,,2015-2016,English Language Learner,Student Enrollment,Number,66
Mansfield School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,1161
Mansfield School District,,2016-2017,English Language Learner,Student Enrollment,Number,56
Mansfield School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,1082
Mansfield School District,,2017-2018,English Language Learner,Student Enrollment,Number,56
Mansfield School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,1095
Mansfield School District,,2018-2019,English Language Learner,Student Enrollment,Number,50
Mansfield School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,1081
Mansfield School District,,2019-2020,English Language Learner,Student Enrollment,Number,52
Mansfield School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,993
Mansfield School District,,2020-2021,English Language Learner,Student Enrollment,Number,46
Marlborough School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2007-2008,English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,663
Marlborough School District,,2009-2010,English Language Learner,Student Enrollment,Number,6
Marlborough School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,556
Marlborough School District,,2015-2016,English Language Learner,Student Enrollment,Number,0
Marlborough School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,485
Marlborough School District,,2017-2018,English Language Learner,Student Enrollment,Number,6
Marlborough School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,443
Marlborough School District,,2018-2019,English Language Learner,Student Enrollment,Number,6
Marlborough School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,442
Marlborough School District,,2019-2020,English Language Learner,Student Enrollment,Number,6
Marlborough School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,-9999
Marlborough School District,,2020-2021,English Language Learner,Student Enrollment,Number,-9999
Meriden School District,900946520,2007-2008,Non-English Language Learner,Student Enrollment,Number,7950
Meriden School District,900946520,2007-2008,English Language Learner,Student Enrollment,Number,958
Meriden School District,900946520,2008-2009,Non-English Language Learner,Student Enrollment,Number,7783
Meriden School District,900946520,2008-2009,English Language Learner,Student Enrollment,Number,936
Meriden School District,900946520,2009-2010,Non-English Language Learner,Student Enrollment,Number,7532
Meriden School District,900946520,2009-2010,English Language Learner,Student Enrollment,Number,931
Meriden School District,900946520,2010-2011,Non-English Language Learner,Student Enrollment,Number,7454
Meriden School District,900946520,2010-2011,English Language Learner,Student Enrollment,Number,952
Meriden School District,900946520,2011-2012,Non-English Language Learner,Student Enrollment,Number,7345
Meriden School District,900946520,2011-2012,English Language Learner,Student Enrollment,Number,997
Meriden School District,900946520,2012-2013,Non-English Language Learner,Student Enrollment,Number,7261
Meriden School District,900946520,2012-2013,English Language Learner,Student Enrollment,Number,999
Meriden School District,900946520,2013-2014,Non-English Language Learner,Student Enrollment,Number,7164
Meriden School District,900946520,2013-2014,English Language Learner,Student Enrollment,Number,1019
Meriden School District,900946520,2014-2015,Non-English Language Learner,Student Enrollment,Number,6950
Meriden School District,900946520,2014-2015,English Language Learner,Student Enrollment,Number,1150
Meriden School District,900946520,2015-2016,Non-English Language Learner,Student Enrollment,Number,6824
Meriden School District,900946520,2015-2016,English Language Learner,Student Enrollment,Number,1169
Meriden School District,900946520,2016-2017,Non-English Language Learner,Student Enrollment,Number,6767
Meriden School District,900946520,2016-2017,English Language Learner,Student Enrollment,Number,1183
Meriden School District,900946520,2017-2018,Non-English Language Learner,Student Enrollment,Number,6754
Meriden School District,900946520,2017-2018,English Language Learner,Student Enrollment,Number,1179
Meriden School District,900946520,2018-2019,Non-English Language Learner,Student Enrollment,Number,6686
Meriden School District,900946520,2018-2019,English Language Learner,Student Enrollment,Number,1287
Meriden School District,900946520,2019-2020,Non-English Language Learner,Student Enrollment,Number,6791
Meriden School District,900946520,2019-2020,English Language Learner,Student Enrollment,Number,1372
Meriden School District,900946520,2020-2021,Non-English Language Learner,Student Enrollment,Number,6805
Meriden School District,900946520,2020-2021,English Language Learner,Student Enrollment,Number,1313
Middletown School District,900747360,2007-2008,Non-English Language Learner,Student Enrollment,Number,4949
Middletown School District,900747360,2007-2008,English Language Learner,Student Enrollment,Number,139
Middletown School District,900747360,2008-2009,Non-English Language Learner,Student Enrollment,Number,5086
Middletown School District,900747360,2008-2009,English Language Learner,Student Enrollment,Number,103
Middletown School District,900747360,2009-2010,Non-English Language Learner,Student Enrollment,Number,5134
Middletown School District,900747360,2009-2010,English Language Learner,Student Enrollment,Number,105
Middletown School District,900747360,2010-2011,Non-English Language Learner,Student Enrollment,Number,5107
Middletown School District,900747360,2010-2011,English Language Learner,Student Enrollment,Number,144
Middletown School District,900747360,2011-2012,Non-English Language Learner,Student Enrollment,Number,4974
Middletown School District,900747360,2011-2012,English Language Learner,Student Enrollment,Number,132
Middletown School District,900747360,2012-2013,Non-English Language Learner,Student Enrollment,Number,4786
Middletown School District,900747360,2012-2013,English Language Learner,Student Enrollment,Number,162
Middletown School District,900747360,2013-2014,Non-English Language Learner,Student Enrollment,Number,4695
Middletown School District,900747360,2013-2014,English Language Learner,Student Enrollment,Number,152
Middletown School District,900747360,2014-2015,Non-English Language Learner,Student Enrollment,Number,4617
Middletown School District,900747360,2014-2015,English Language Learner,Student Enrollment,Number,176
Middletown School District,900747360,2015-2016,Non-English Language Learner,Student Enrollment,Number,4529
Middletown School District,900747360,2015-2016,English Language Learner,Student Enrollment,Number,172
Middletown School District,900747360,2016-2017,Non-English Language Learner,Student Enrollment,Number,4524
Middletown School District,900747360,2016-2017,English Language Learner,Student Enrollment,Number,178
